"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 11:05:10 GMT 2024","Sat Jun 08 11:05:11 GMT 2024","400","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Sat Jun 08 11:05:26 GMT 2024","Sat Jun 08 11:05:28 GMT 2024","2186","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"passed","Sat Jun 08 11:05:08 GMT 2024","Sat Jun 08 11:05:11 GMT 2024","2214","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sat Jun 08 11:05:14 GMT 2024","Sat Jun 08 11:05:15 GMT 2024","1894","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Sat Jun 08 11:05:11 GMT 2024","Sat Jun 08 11:05:11 GMT 2024","423","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"failed","Sat Jun 08 11:05:17 GMT 2024","Sat Jun 08 11:05:41 GMT 2024","23447","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Sat Jun 08 11:05:39 GMT 2024","Sat Jun 08 11:05:43 GMT 2024","3461","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Sat Jun 08 11:05:08 GMT 2024","Sat Jun 08 11:05:10 GMT 2024","2426","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Sat Jun 08 11:05:15 GMT 2024","Sat Jun 08 11:05:17 GMT 2024","2737","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Sat Jun 08 11:05:35 GMT 2024","Sat Jun 08 11:05:37 GMT 2024","1551","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Sat Jun 08 11:05:20 GMT 2024","Sat Jun 08 11:05:23 GMT 2024","3190","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"passed","Sat Jun 08 11:05:42 GMT 2024","Sat Jun 08 11:05:54 GMT 2024","11766","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"failed","Sat Jun 08 11:05:31 GMT 2024","Sat Jun 08 11:05:33 GMT 2024","1534","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
